Variable,N,Mean,SD,p25,Median,p75,Min,Max
Blackout days before quarter end,605,14.861,8.789,11.0,15.0,20.0,0.0,35.0
Has recurring blackout (0/1),605,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Requires pre-clearance (0/1),605,0.982,0.134,1.0,1.0,1.0,0.0,1.0
Prohibits hedging (0/1),605,0.932,0.252,1.0,1.0,1.0,0.0,1.0
CEO equity pay share,605,0.658,0.212,0.598,0.701,0.787,0.0,1.0
All-execs equity pay share (pooled),605,0.634,0.16,0.55,0.649,0.736,0.0,0.989
CEO share ownership (%),599,1.229,4.3,0.068,0.19,0.556,0.001,46.258
CEO holdings value (USD millions),599,816.955,9577.6,15.414,39.734,113.7,0.21,200701.591
CEO holdings / annual comp,599,168.468,2034.539,1.26,2.731,7.478,0.005,46956.617
"Log(market cap, USD millions)",605,9.984,1.232,9.068,9.75,10.721,7.447,15.142
Market cap (USD millions),605,68847.512,275119.015,8670.039,17158.794,45319.738,1714.519,3766499.857
Log(total assets) [robustness],605,9.735,1.432,8.692,9.601,10.663,6.44,15.203
Leverage (winsorized),605,0.316,0.212,0.161,0.302,0.429,0.0,1.161
ROA (winsorized),605,0.068,0.07,0.027,0.055,0.105,-0.252,0.266
Institutional ownership (%),605,0.852,0.14,0.784,0.883,0.961,0.211,1.0
Blockholder ownership (5%+),605,0.223,0.097,0.158,0.219,0.283,0.0,0.567
Top-5 investor ownership,605,0.306,0.071,0.26,0.302,0.348,0.085,0.678
Herfindahl concentration index,605,0.039,0.021,0.03,0.036,0.043,0.018,0.257
Number of institutional owners,605,1193.964,883.124,597.0,927.0,1415.0,268.0,6220.0
CEO age,603,58.297,6.684,54.0,59.0,62.0,38.0,87.0
CEO tenure (years),604,7.457,7.52,2.0,5.0,10.0,-1.0,52.0
