,days,equity_share,equity_share_pooled,ceo_share_ownership,log_ceo_holdings,log_mktcap,log_at,leverage_w,roa_w,io,ibh_5pct,has_recurring_blackout,requires_preclearance,prohibits_hedging
days,1.0,0.06,0.113,-0.021,0.029,0.13,0.039,-0.045,0.068,-0.006,-0.034,,-0.001,0.017
equity_share,0.06,1.0,0.677,-0.254,-0.237,0.001,-0.047,0.112,0.004,0.254,0.104,,-0.03,0.036
equity_share_pooled,0.113,0.677,1.0,0.052,0.094,0.197,-0.03,0.076,-0.002,0.075,-0.056,,-0.04,0.076
ceo_share_ownership,-0.021,-0.254,0.052,1.0,0.523,-0.077,-0.153,-0.032,0.017,-0.228,-0.113,,-0.102,0.046
log_ceo_holdings,0.029,-0.237,0.094,0.523,1.0,0.337,0.114,-0.086,0.161,-0.22,-0.272,,-0.039,0.041
log_mktcap,0.13,0.001,0.197,-0.077,0.337,1.0,0.641,-0.023,0.25,-0.323,-0.483,,-0.051,0.019
log_at,0.039,-0.047,-0.03,-0.153,0.114,0.641,1.0,-0.08,-0.289,-0.262,-0.246,,0.005,-0.039
leverage_w,-0.045,0.112,0.076,-0.032,-0.086,-0.023,-0.08,1.0,0.046,0.052,0.028,,0.052,0.034
roa_w,0.068,0.004,-0.002,0.017,0.161,0.25,-0.289,0.046,1.0,-0.025,-0.181,,-0.045,-0.002
io,-0.006,0.254,0.075,-0.228,-0.22,-0.323,-0.262,0.052,-0.025,1.0,0.576,,0.033,0.002
ibh_5pct,-0.034,0.104,-0.056,-0.113,-0.272,-0.483,-0.246,0.028,-0.181,0.576,1.0,,0.037,-0.042
has_recurring_blackout,,,,,,,,,,,,,,
requires_preclearance,-0.001,-0.03,-0.04,-0.102,-0.039,-0.051,0.005,0.052,-0.045,0.033,0.037,,1.0,0.062
prohibits_hedging,0.017,0.036,0.076,0.046,0.041,0.019,-0.039,0.034,-0.002,0.002,-0.042,,0.062,1.0
