Variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se,(4) coef,(4) se,(5) coef,(5) se
Equity pay share (CEO),1.589,-1.724,1.319,-1.801,1.419,-1.73,,,1.537,-1.649
Equity pay share (all execs),,,,,,,+4.182*,-2.532,,
Institutional ownership,,,1.659,-2.64,,,,,,
Blockholder ownership,,,,,3.313,-3.852,,,,
Log(market cap),+0.811**,-0.34,+0.871**,-0.346,+0.934**,-0.375,+0.686**,-0.348,,
Log(total assets),,,,,,,,,+0.711**,-0.296
Leverage,-2.649,-1.878,-2.696,-1.886,-2.685,-1.884,-2.63,-1.889,-3.285**,-1.618
ROA,4.368,-5.285,4.222,-5.284,4.581,-5.284,5.555,-5.35,+11.803**,-5.325
N,604,,604,,604,,604,,669,
R-squared,0.061,,0.061,,0.062,,0.064,,0.076,
